pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,0,1,7,4,ChocoSolver,0,100.0,0.03703703702331961,25
0,1,1,7,4,ChocoSolver,99.90234375,100.0,0.0010463169635383449,23
0,2,1,7,4,ChocoSolver,99.609375,100.0,0.0021972656236267088,27
0,3,1,7,4,ChocoSolver,100.0,100.0,0.0,24
0,4,1,7,4,ChocoSolver,100.0,100.0,0.0,23
0,5,1,7,4,ChocoSolver,99.90234375,100.0,0.003906249990234375,24
0,6,1,7,4,ChocoSolver,99.90234375,100.0,0.006510416644965278,22
0,7,1,7,4,ChocoSolver,0,100.0,0.09090909082644627,21
0,8,1,7,4,ChocoSolver,100.0,100.0,0.0,24
0,9,1,7,4,ChocoSolver,100.0,100.0,0.0,22
0,10,1,7,4,ChocoSolver,99.51171875,100.0,0.0017903645823386862,31
0,11,1,7,4,ChocoSolver,0,100.0,0.49999999964285713,29
0,12,1,7,4,ChocoSolver,0,100.0,0.28571428551020406,30
0,13,1,7,4,ChocoSolver,100.0,100.0,0.0,13
0,14,1,7,4,ChocoSolver,0,100.0,0.321562499871375,28
0,15,1,7,4,ChocoSolver,100.0,100.0,0.0,22
0,16,1,7,4,ChocoSolver,100.0,100.0,0.0,20
0,17,1,7,4,ChocoSolver,99.90234375,100.0,0.0008680555545910493,26
0,18,1,7,4,ChocoSolver,99.90234375,100.0,0.001220703123474121,25
0,19,1,7,4,ChocoSolver,100.0,100.0,0.0,20
0,20,1,7,4,ChocoSolver,100.0,100.0,0.0,21
0,21,1,7,4,ChocoSolver,100.0,100.0,0.0,21
0,22,1,7,4,ChocoSolver,100.0,100.0,0.0,23
0,23,1,7,4,ChocoSolver,100.0,100.0,0.0,18
0,24,1,7,4,ChocoSolver,99.8046875,100.0,0.0008138020829942491,25
0,25,1,7,4,ChocoSolver,100.0,100.0,0.0,21
0,26,1,7,4,ChocoSolver,0,100.0,0.4444444439506172,28
0,27,1,7,4,ChocoSolver,0,100.0,0.15384615372781063,25
0,28,1,7,4,ChocoSolver,100.0,100.0,0.0,29
0,29,1,7,4,ChocoSolver,99.90234375,100.0,0.009765624951171876,30
0,30,1,7,4,ChocoSolver,99.8046875,100.0,0.00015024038455759985,29
0,31,1,7,4,ChocoSolver,100.0,100.0,0.0,19
