pkid,solverid,success,incnstr,arg,iter
0,0,20.69921875,70.4111328125,11979271625.979399,28.91
0,1,53.44620201031241,100.0,191632145.3167662,20.18
1,0,1.048828125,30.2197265625,3028806812.974893,29.06
