pkid,method,layers,depth,culled_depth
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
0,ChocoSolver,1,103,45
